GROSS SQUARE FEET	 SALE PRICE 
"1,900"	"3,500,000"
"1,899"	"765,000"
"1,890"	0
"1,880"	"5,950,000"
"1,848"	"959,500"
"1,826"	0
"1,680"	0
"1,600"	0
"1,600"	"4,450,000"
"1,596"	"7,700,000"
"1,554"	"2,425,000"
"1,544"	"2,425,000"
"1,542"	"7,500,000"
"1,512"	"1,700,000"
"1,512"	"4,200,000"
"1,500"	0
"1,500"	0
"1,480"	"985,500"
"1,460"	0
"1,425"	"1,750,000"
"1,408"	"950,000"
"1,380"	"2,425,000"
"1,338"	"3,300,000"
"1,192"	0
"1,087"	0
924	0
924	"5,825,000"
714	"1,330,000"
462	"7,350,000"
